# Run started=2026-07-13 20:23:22 graph=DBLP method=ReleaseV4 data_root=data graph_folder=data\DBLP query_file=query.txt run_subdir=default original_query_count=160 query_begin=1 query_limit=-1 query_count=160 result_dir=result\DBLP\ReleaseV4\default rss_mb=873.281 peak_rss_mb=873.285
query=50 best=5.9494249217 wall_ms=20011.089 rss_before_mb=883.891 rss_after_mb=883.891 peak_rss_mb=1453.961
query=51 best=6.0149880740 wall_ms=15122.049 rss_before_mb=883.891 rss_after_mb=883.891 peak_rss_mb=1453.961
query=52 best=5.8262649486 wall_ms=15447.277 rss_before_mb=883.891 rss_after_mb=883.891 peak_rss_mb=1453.961
query=53 best=4.4292442158 wall_ms=24179.247 rss_before_mb=883.891 rss_after_mb=883.891 peak_rss_mb=1453.961
query=54 best=5.9707841498 wall_ms=14963.416 rss_before_mb=883.891 rss_after_mb=883.891 peak_rss_mb=1453.961
query=55 best=5.9249551227 wall_ms=19372.711 rss_before_mb=883.891 rss_after_mb=883.891 peak_rss_mb=1453.961
query=56 best=5.9442836198 wall_ms=19426.149 rss_before_mb=883.891 rss_after_mb=883.891 peak_rss_mb=1453.961
query=57 best=5.9667512756 wall_ms=20477.812 rss_before_mb=883.891 rss_after_mb=883.891 peak_rss_mb=1453.961
query=58 best=5.2287132043 wall_ms=22814.552 rss_before_mb=883.891 rss_after_mb=883.891 peak_rss_mb=1453.961
query=59 best=5.7192377959 wall_ms=20715.987 rss_before_mb=883.891 rss_after_mb=883.891 peak_rss_mb=1453.961
query=60 best=6.0584613325 wall_ms=19645.233 rss_before_mb=883.891 rss_after_mb=883.891 peak_rss_mb=1453.961
query=61 best=5.1019412969 wall_ms=18192.674 rss_before_mb=883.891 rss_after_mb=883.891 peak_rss_mb=1453.961
query=62 best=5.0617386984 wall_ms=24024.281 rss_before_mb=883.891 rss_after_mb=883.891 peak_rss_mb=1453.961
query=63 best=2.4146535509 wall_ms=18021.412 rss_before_mb=883.891 rss_after_mb=883.891 peak_rss_mb=1453.961
query=64 best=4.6542709616 wall_ms=23030.652 rss_before_mb=883.891 rss_after_mb=883.891 peak_rss_mb=1453.961
query=65 best=5.6971366436 wall_ms=15940.896 rss_before_mb=883.891 rss_after_mb=883.891 peak_rss_mb=1453.961
query=66 best=5.8391542688 wall_ms=14641.155 rss_before_mb=883.891 rss_after_mb=883.891 peak_rss_mb=1453.961
query=67 best=5.8859122567 wall_ms=15988.659 rss_before_mb=883.891 rss_after_mb=883.891 peak_rss_mb=1453.961
query=68 best=4.1261464108 wall_ms=21526.976 rss_before_mb=883.891 rss_after_mb=884.668 peak_rss_mb=1453.961
query=69 best=5.1045424108 wall_ms=18132.888 rss_before_mb=884.668 rss_after_mb=884.785 peak_rss_mb=1453.961
query=70 best=5.5366046674 wall_ms=15813.273 rss_before_mb=884.785 rss_after_mb=884.785 peak_rss_mb=1453.961
query=71 best=3.8694911335 wall_ms=20468.321 rss_before_mb=884.785 rss_after_mb=884.785 peak_rss_mb=1453.961
query=72 best=2.5601144431 wall_ms=20712.086 rss_before_mb=884.785 rss_after_mb=884.785 peak_rss_mb=1453.961
query=73 best=4.3167911549 wall_ms=22517.990 rss_before_mb=884.785 rss_after_mb=884.789 peak_rss_mb=1453.961
query=74 best=1.0392031385 wall_ms=15634.699 rss_before_mb=884.789 rss_after_mb=884.789 peak_rss_mb=1453.961
query=75 best=3.8019348970 wall_ms=20912.568 rss_before_mb=884.789 rss_after_mb=884.789 peak_rss_mb=1453.961
query=76 best=3.4102584278 wall_ms=22245.032 rss_before_mb=884.789 rss_after_mb=884.789 peak_rss_mb=1453.961
query=77 best=5.1946606612 wall_ms=25512.622 rss_before_mb=884.789 rss_after_mb=890.871 peak_rss_mb=1454.859
query=78 best=4.0118972196 wall_ms=22158.086 rss_before_mb=890.871 rss_after_mb=890.918 peak_rss_mb=1454.859
query=79 best=3.2501758412 wall_ms=18716.453 rss_before_mb=890.918 rss_after_mb=890.918 peak_rss_mb=1454.859
query=80 best=4.7251937244 wall_ms=18600.342 rss_before_mb=890.918 rss_after_mb=890.918 peak_rss_mb=1454.859
query=81 best=8.2140958508 wall_ms=38218.488 rss_before_mb=890.918 rss_after_mb=895.215 peak_rss_mb=1499.105
query=82 best=8.5207974134 wall_ms=26709.232 rss_before_mb=895.215 rss_after_mb=895.258 peak_rss_mb=1499.105
