query=63 V=49.9180588741 stage1_total=6999101 ltV=2384972 ltV2=300889 ltV4=780 ltV8=214
query=64 V=0.0000000000 stage1_total=1166496 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=65 V=23.9931708414 stage1_total=2332992 ltV=6307 ltV2=27 ltV4=14 ltV8=14
query=66 V=35.9897562621 stage1_total=6999076 ltV=936702 ltV2=2282 ltV4=189 ltV8=164
query=67 V=17.5321649182 stage1_total=2333181 ltV=5868 ltV2=422 ltV4=378 ltV8=378
query=68 V=0.0000000000 stage1_total=1166530 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=69 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=70 V=125.9921564088 stage1_total=47826664 ltV=44804889 ltV2=11159325 ltV4=712786 ltV8=4308
query=71 V=23.9931708414 stage1_total=2333048 ltV=20737 ltV2=282 ltV4=36 ltV8=34
query=72 V=108.8800986854 stage1_total=29162406 ltV=22832636 ltV2=3901605 ltV4=227349 ltV8=625
query=73 V=72.3874687641 stage1_total=11664978 ltV=8017633 ltV2=853518 ltV4=1618 ltV8=87
query=74 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=75 V=96.1979009627 stage1_total=47826424 ltV=36681413 ltV2=3657233 ltV4=300475 ltV8=159
query=76 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=77 V=73.8997179829 stage1_total=2332992 ltV=1147529 ltV2=340607 ltV4=163 ltV8=12
query=78 V=194.3052410282 stage1_total=114316728 ltV=111003703 ltV2=38694484 ltV4=3999272 ltV8=342275
query=79 V=46.4752461203 stage1_total=2332992 ltV=468197 ltV2=292 ltV4=18 ltV8=6
query=80 V=47.9863416828 stage1_total=11665148 ltV=3546929 ltV2=70797 ltV4=658 ltV8=226
query=81 V=68.3944896245 stage1_total=11665435 ltV=7182657 ltV2=629607 ltV4=1652 ltV8=102
query=82 V=89.3470488254 stage1_total=47826352 ltV=33694278 ltV2=3601040 ltV4=53447 ltV8=248
query=83 V=130.0942897058 stage1_total=188972885 ltV=177538676 ltV2=21975560 ltV4=853303 ltV8=969
query=84 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=85 V=97.7277040509 stage1_total=29163098 ltV=20699874 ltV2=3221632 ltV4=337627 ltV8=658
query=86 V=35.9897562621 stage1_total=6999062 ltV=671459 ltV2=2078 ltV4=91 ltV8=79
query=87 V=153.2930600375 stage1_total=743058193 ltV=725191018 ltV2=109120794 ltV4=5177409 ltV8=15747
query=88 V=145.1895113878 stage1_total=6998976 ltV=6036431 ltV2=979741 ltV4=332 ltV8=17
query=89 V=66.2291569169 stage1_total=29162842 ltV=13246134 ltV2=836670 ltV4=6357 ltV8=425
query=90 V=23.9931708414 stage1_total=2332992 ltV=26358 ltV2=63 ltV4=22 ltV8=22
query=91 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=92 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=93 V=91.5947550993 stage1_total=47826500 ltV=34731127 ltV2=3015387 ltV4=65713 ltV8=788
query=94 V=47.9863416828 stage1_total=11665094 ltV=3232914 ltV2=55696 ltV4=511 ltV8=201
query=95 V=103.0885469837 stage1_total=29162774 ltV=21661989 ltV2=3173486 ltV4=314160 ltV8=964
query=96 V=59.9829271035 stage1_total=47826368 ltV=12264301 ltV2=732080 ltV4=1638 ltV8=166
query=97 V=39.2039240972 stage1_total=2333006 ltV=288475 ltV2=3368 ltV4=51 ltV8=34
query=98 V=51.3643361665 stage1_total=2332996 ltV=749953 ltV2=75703 ltV4=65 ltV8=19
query=99 V=66.8446384440 stage1_total=11664982 ltV=6506636 ltV2=501125 ltV4=2510 ltV8=115
query=100 V=0.0000000000 stage1_total=2333008 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=101 V=182.5000526310 stage1_total=444435278 ltV=438242252 ltV2=87169717 ltV4=5536751 ltV8=129786
query=102 V=108.2620629802 stage1_total=114317058 ltV=91445417 ltV2=9656249 ltV4=688211 ltV8=5071
query=103 V=97.0913961095 stage1_total=47826410 ltV=40343338 ltV2=4947412 ltV4=314989 ltV8=659
query=104 V=49.7925109319 stage1_total=47826960 ltV=9285329 ltV2=636304 ltV4=1557 ltV8=388
query=105 V=205.5166429146 stage1_total=743058143 ltV=741309458 ltV2=156612440 ltV4=7605398 ltV8=483219
query=106 V=0.0000000000 stage1_total=1166498 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=107 V=53.6354347435 stage1_total=6999466 ltV=2054425 ltV2=215250 ltV4=97 ltV8=25
query=108 V=59.9829271035 stage1_total=29162945 ltV=7446177 ltV2=434141 ltV4=1289 ltV8=136
query=109 V=127.7686970994 stage1_total=114316959 ltV=103387952 ltV2=18117182 ltV4=1071881 ltV8=6893
query=110 V=152.5529832139 stage1_total=188972446 ltV=185171630 ltV2=29095382 ltV4=1112868 ltV8=2234
query=111 V=0.0000000000 stage1_total=1166496 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=112 V=0.0000000000 stage1_total=1166496 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=113 V=143.0397027852 stage1_total=444435108 ltV=416311730 ltV2=44419275 ltV4=1699017 ltV8=5031
query=114 V=135.6842258604 stage1_total=188972745 ltV=177471710 ltV2=21019074 ltV4=901375 ltV8=3493
query=115 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=116 V=92.7399557384 stage1_total=11665052 ltV=9236148 ltV2=1430395 ltV4=28996 ltV8=256
query=117 V=117.3929872940 stage1_total=29162436 ltV=25541336 ltV2=3745658 ltV4=165814 ltV8=348
query=118 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=119 V=160.4528661933 stage1_total=114316802 ltV=109688294 ltV2=27013923 ltV4=2365389 ltV8=23619
query=120 V=151.7739564873 stage1_total=29164708 ltV=25157983 ltV2=9694990 ltV4=1205267 ltV8=12766
query=121 V=150.4569050367 stage1_total=47826916 ltV=46928105 ltV2=12756366 ltV4=1236038 ltV8=2216
query=122 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=123 V=42.2102736399 stage1_total=6999050 ltV=1216689 ltV2=7097 ltV4=292 ltV8=85
query=124 V=66.9295220485 stage1_total=11665314 ltV=7490182 ltV2=754246 ltV4=5745 ltV8=593
query=125 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=126 V=97.4887716145 stage1_total=29162489 ltV=21824437 ltV2=4071795 ltV4=431694 ltV8=1341
query=127 V=82.2125876494 stage1_total=11665482 ltV=7865205 ltV2=1002233 ltV4=17245 ltV8=978
query=128 V=0.0000000000 stage1_total=1166578 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=129 V=110.8333710997 stage1_total=47826346 ltV=42237426 ltV2=5862221 ltV4=466674 ltV8=627
query=130 V=112.0013510217 stage1_total=47826413 ltV=44756684 ltV2=6587169 ltV4=351456 ltV8=981
query=131 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=132 V=105.4318565303 stage1_total=114317515 ltV=89442779 ltV2=9265964 ltV4=805148 ltV8=3555
