# Run started=2026-07-13 20:20:42 graph=Toronto method=ReleaseV4 data_root=data graph_folder=data\Toronto query_file=query.txt run_subdir=default original_query_count=160 query_begin=1 query_limit=-1 query_count=160 result_dir=result\Toronto\ReleaseV4\default rss_mb=15.828 peak_rss_mb=15.832
query=52 best=0.2221503030 wall_ms=158.700 rss_before_mb=16.668 rss_after_mb=16.312 peak_rss_mb=23.367
query=53 best=0.1993575349 wall_ms=128.961 rss_before_mb=16.312 rss_after_mb=16.672 peak_rss_mb=23.367
query=54 best=0.0374895228 wall_ms=105.541 rss_before_mb=16.672 rss_after_mb=16.672 peak_rss_mb=23.367
query=55 best=0.2212466317 wall_ms=130.512 rss_before_mb=16.672 rss_after_mb=16.680 peak_rss_mb=23.367
query=56 best=0.1706815201 wall_ms=134.690 rss_before_mb=16.680 rss_after_mb=16.684 peak_rss_mb=23.367
query=57 best=0.2376539469 wall_ms=138.279 rss_before_mb=16.684 rss_after_mb=16.695 peak_rss_mb=23.367
query=58 best=0.1963626791 wall_ms=137.655 rss_before_mb=16.699 rss_after_mb=16.695 peak_rss_mb=23.367
query=59 best=0.1322654011 wall_ms=133.989 rss_before_mb=16.699 rss_after_mb=16.699 peak_rss_mb=23.367
query=60 best=0.1730432160 wall_ms=158.057 rss_before_mb=16.703 rss_after_mb=16.348 peak_rss_mb=23.484
query=61 best=0.0368065233 wall_ms=125.309 rss_before_mb=16.352 rss_after_mb=16.699 peak_rss_mb=23.484
query=62 best=0.0796008275 wall_ms=136.060 rss_before_mb=16.703 rss_after_mb=16.699 peak_rss_mb=23.484
query=63 best=0.1375969823 wall_ms=165.799 rss_before_mb=16.703 rss_after_mb=16.699 peak_rss_mb=23.484
query=64 best=0.0527279247 wall_ms=115.161 rss_before_mb=16.703 rss_after_mb=16.699 peak_rss_mb=23.484
query=65 best=0.0933513213 wall_ms=141.186 rss_before_mb=16.703 rss_after_mb=16.699 peak_rss_mb=23.484
query=66 best=0.0502564580 wall_ms=113.280 rss_before_mb=16.703 rss_after_mb=16.699 peak_rss_mb=23.484
query=67 best=0.0837384775 wall_ms=117.680 rss_before_mb=16.703 rss_after_mb=16.688 peak_rss_mb=23.484
query=68 best=0.0499323752 wall_ms=119.454 rss_before_mb=16.688 rss_after_mb=16.688 peak_rss_mb=23.484
query=69 best=0.0258052635 wall_ms=113.796 rss_before_mb=16.691 rss_after_mb=16.699 peak_rss_mb=23.484
query=70 best=0.0723959429 wall_ms=121.969 rss_before_mb=16.703 rss_after_mb=16.699 peak_rss_mb=23.484
query=71 best=0.0173596329 wall_ms=141.591 rss_before_mb=16.703 rss_after_mb=16.699 peak_rss_mb=23.484
query=72 best=0.0257968268 wall_ms=114.543 rss_before_mb=16.703 rss_after_mb=16.699 peak_rss_mb=23.484
query=73 best=0.0324425477 wall_ms=132.078 rss_before_mb=16.703 rss_after_mb=16.688 peak_rss_mb=23.484
query=74 best=0.0391392828 wall_ms=124.657 rss_before_mb=16.691 rss_after_mb=16.688 peak_rss_mb=23.484
query=75 best=0.0391377066 wall_ms=132.463 rss_before_mb=16.691 rss_after_mb=16.699 peak_rss_mb=23.484
query=76 best=0.0425118888 wall_ms=131.522 rss_before_mb=16.703 rss_after_mb=16.699 peak_rss_mb=23.484
query=77 best=0.0304325892 wall_ms=127.732 rss_before_mb=16.703 rss_after_mb=16.699 peak_rss_mb=23.484
query=78 best=0.0091650571 wall_ms=114.566 rss_before_mb=16.703 rss_after_mb=16.699 peak_rss_mb=23.484
query=79 best=0.0130487700 wall_ms=133.501 rss_before_mb=16.703 rss_after_mb=16.699 peak_rss_mb=23.484
query=80 best=0.0177294900 wall_ms=123.558 rss_before_mb=16.703 rss_after_mb=16.699 peak_rss_mb=23.484
query=81 best=0.4377884576 wall_ms=222.388 rss_before_mb=16.703 rss_after_mb=16.727 peak_rss_mb=24.609
query=82 best=0.4112479218 wall_ms=179.961 rss_before_mb=16.727 rss_after_mb=16.379 peak_rss_mb=24.609
query=83 best=0.3942681668 wall_ms=177.310 rss_before_mb=16.379 rss_after_mb=16.375 peak_rss_mb=24.609
query=84 best=0.4161365456 wall_ms=198.967 rss_before_mb=16.375 rss_after_mb=16.410 peak_rss_mb=24.609
query=85 best=0.3528548005 wall_ms=208.830 rss_before_mb=16.410 rss_after_mb=16.785 peak_rss_mb=24.609
query=86 best=0.3831415377 wall_ms=190.213 rss_before_mb=16.785 rss_after_mb=16.426 peak_rss_mb=24.609
query=87 best=0.5381047740 wall_ms=222.971 rss_before_mb=16.426 rss_after_mb=16.414 peak_rss_mb=24.688
query=88 best=0.3181643078 wall_ms=158.654 rss_before_mb=16.414 rss_after_mb=16.762 peak_rss_mb=24.688
query=89 best=0.3640700996 wall_ms=165.117 rss_before_mb=16.762 rss_after_mb=16.418 peak_rss_mb=24.688
query=90 best=0.5175389663 wall_ms=220.769 rss_before_mb=16.418 rss_after_mb=16.438 peak_rss_mb=24.820
query=91 best=0.2583233795 wall_ms=189.463 rss_before_mb=16.438 rss_after_mb=16.410 peak_rss_mb=24.820
query=92 best=0.1021324835 wall_ms=173.704 rss_before_mb=16.410 rss_after_mb=16.418 peak_rss_mb=24.820
query=93 best=0.2173255765 wall_ms=170.382 rss_before_mb=16.418 rss_after_mb=16.418 peak_rss_mb=24.820
query=94 best=0.2774258968 wall_ms=187.672 rss_before_mb=16.418 rss_after_mb=16.430 peak_rss_mb=24.820
query=95 best=0.3206056581 wall_ms=210.822 rss_before_mb=16.430 rss_after_mb=16.453 peak_rss_mb=24.820
query=96 best=0.2550094015 wall_ms=175.650 rss_before_mb=16.453 rss_after_mb=16.418 peak_rss_mb=24.820
query=97 best=0.0945681894 wall_ms=139.975 rss_before_mb=16.406 rss_after_mb=16.387 peak_rss_mb=24.820
query=98 best=0.2366337231 wall_ms=189.300 rss_before_mb=16.387 rss_after_mb=16.461 peak_rss_mb=24.820
query=99 best=0.1812055058 wall_ms=189.169 rss_before_mb=16.461 rss_after_mb=16.469 peak_rss_mb=24.820
query=100 best=0.2864640972 wall_ms=208.924 rss_before_mb=16.469 rss_after_mb=16.484 peak_rss_mb=24.820
query=101 best=0.1163450346 wall_ms=167.584 rss_before_mb=16.484 rss_after_mb=16.512 peak_rss_mb=24.820
query=102 best=0.0566260847 wall_ms=161.545 rss_before_mb=16.512 rss_after_mb=16.516 peak_rss_mb=24.820
